Vertice,C,254;Hoja_MTN,C,50;Situacion,C,254;Señal,C,254;Referencia,C,50;Referenc_1,C,50;Referenc_2,C,50;Referenc_3,C,50;X_ED50,N,19,11;Y_ED50,N,19,11;X_ETRS89,N,19,11;Y_ETRS89,N,19,11;Z_Ortometr,N,19,11;Altura,N,19,11;AzmVert1Vi,C,50;Nombre1Vis,C,50;AzmVert2Vi,C,50;Nombre2Vis,C,50;AzmVert3Vi,C,50;Nombre3Vis,C,50;AzmVert4Vi,C,50;Nombre4Vis,C,50;Año,N,9,0;Fecha,D
1339;559;En bordillo junto a jardín de la Avda. de Miraflores, a unos 20 mts. de la Ciudad Puerta de Hierro (entrada - salida).;Clavo Reglamentario.;Esquina alcorque 2.34;Esquina registro 6.39;Esquina alcorque 8.07;Centro farola 6.91;438249,426;4479279,169;438140,072;4479071,685;655,36;706,379;;1338;;1340;;6897;;;2006;30/06/2006
1340;559;En el bordillo de la Avd/ D e Miraflores, a 5 m de la entrada al nº 4 y frente al nº 7.;Clavo Reglamentario.;Esquina registro 13.15;Registro 9.06;Esquina registro 13.14;Esquina registro 9.98;438295,979;4479396,17;438186,626;4479188,686;653,852;704,871;;1341;;1339;;;;;2006;30/06/2006
1341;559;En bordillo de la Avda. de Miraflores, frente al nº 13, a unos 15 mts. del cruce con la C/ Colmenarejo.;Clavo Reglamentario.;Centro registro 16.30;Centro registro 10.38;Distancia mínima verja 3.90;Esquina alcorque 1.43;438273,643;4479518,725;438164,292;4479311,24;654,156;705,176;;1340;;1342;;;;;2006;30/06/2006
1342;559;Entre las baldosas de la acera de la Avd/ De Miraflores, frente al nº 15 que es la Embajada de Grecia.;Clavo Reglamentario.;Esquina cabina telefonos 16.96;Normal a bordillo 1.11;Esquina muro 17.22;Normal a muro 1.31;438282,818;4479632,354;438173,469;4479424,869;657,473;708,493;;6895;;1341;;;;;2006;30/06/2006
1343;559;Entre el bordillo de la acera de la Avd/ De Miraflores, frente al nº 19 que es la Embajada de Arabia Saudí.;Clavo Reglamentario.;esquina muro 4.28;Normal a bordillo 1.46;Esquina bordillo 3.63;esquina muro 3.28;438156,756;4479657,926;438047,407;4479450,443;663,971;714,991;;1344;;6994;;;;;2006;30/06/2006
1344;559;En el bordillo del cruce de la Avd/ De Miraflores con la C/ Isla de Oza.;Clavo Reglamentario.;Esquina alcorque 1.86;Registro 1.32;Esquina alcorque 2.05;Esquina bordillo 2.22;438130,493;4479876,764;438021,147;4479669,281;670,933;721,953;;6891;;6883;;;;;2006;30/06/2006
1346;559;En el bordillo de la C/ Isla de Oza, cruce con la C/ San Martín de Porres, a unos 5 m y frente a la caseta de vigilancia.;Clavo Reglamentario.;Esquina registro 6.58;Normal a muro 2.12;Poste 1.93;Esquina bordillo 7.56;438473,505;4479819,675;438364,158;4479612,188;671,359;722,381;;6891;;6892;;;;;2006;30/06/2006
1348;559;En el bordillo de la C/ Isla de Oza, cruce con la C/ Nueva Zelanda.;Clavo Reglamentario.;Esquina registro 2.04;Esquina armario 2.05;Registro 6.22;Normal a muro 3.47;438754,873;4479767,907;438645,524;4479560,418;678,628;729,649;;6892;;1349;;;;;2006;30/06/2006
1349;559;En el bordillo de la C/ Nueva Zelanda, a unos 5 m de la entrada al nº 14.;Clavo Reglamentario.;Poste 4.94;Normal a muro 2.24;esquina alcorque 10.91;Esquina registro 9.82;438748,924;4479890,004;438639,577;4479682,515;673,065;724,088;;1348;;1353;;;;;2006;30/06/2006
1350;559;En el bordillo de la C/ Antonio Machado, a unos 25 mts. del nº 15.;Clavo Reglamentario.;Esquina alcorque 1.05;Esquina registro 1.52;Esquina alcorque 1.57;Esquina registro 1.64;439046,901;4479658,912;438937,551;4479451,42;687,985;739,003;;1348;;1351;;1684;;3336;2006;30/06/2006
